Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter
"Abilene, TX",10180,2016,1,194.98,10.879999999999995,5.909831613253664,2016.0
"Abilene, TX",10180,2016,2,197.56,7.3700000000000045,3.87507229612493,2016.25
"Abilene, TX",10180,2016,3,202.23,9.929999999999978,5.163806552262079,2016.5
"Abilene, TX",10180,2016,4,203.51,9.590000000000003,4.945338283828385,2016.75
"Akron, OH",10420,2016,1,139.12,4.27000000000001,3.1664812754912943,2016.0
"Akron, OH",10420,2016,2,141.87,2.8499999999999943,2.050064738886487,2016.25
"Akron, OH",10420,2016,3,143.32,6.519999999999982,4.7660818713450155,2016.5
"Akron, OH",10420,2016,4,142.48,2.1899999999999977,1.5610521063511285,2016.75
"Albany, GA",10500,2016,1,145.21,0.6200000000000045,0.4287986721073412,2016.0
"Albany, GA",10500,2016,2,147.3,3.5600000000000023,2.4766940308891066,2016.25
"Albany, GA",10500,2016,3,147.01,1.8700000000000045,1.288411189196641,2016.5
"Albany, GA",10500,2016,4,145.93,4.189999999999998,2.9561168336390558,2016.75
"Albany-Lebanon, OR",10540,2016,1,190.89,19.319999999999993,11.260709914320682,2016.0
"Albany-Lebanon, OR",10540,2016,2,194.63,13.219999999999999,7.287360123477206,2016.25
"Albany-Lebanon, OR",10540,2016,3,202.01,15.179999999999978,8.125033452871582,2016.5
"Albany-Lebanon, OR",10540,2016,4,202.72,17.77000000000001,9.608002162746693,2016.75
"Albany-Schenectady-Troy, NY",10580,2016,1,189.73,3.0,1.6065977614737856,2016.0
"Albany-Schenectady-Troy, NY",10580,2016,2,191.57,3.9799999999999898,2.1216482754944237,2016.25
"Albany-Schenectady-Troy, NY",10580,2016,3,193.22,5.439999999999998,2.8970071360102234,2016.5
"Albany-Schenectady-Troy, NY",10580,2016,4,193.24,6.27000000000001,3.3534791677809332,2016.75
"Albuquerque, NM",10740,2016,1,158.97,3.3400000000000034,2.1461157874445824,2016.0
"Albuquerque, NM",10740,2016,2,160.68,3.819999999999993,2.435292617620804,2016.25
