Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter
Alaska,2,2016,1,316.13,8.300000000000011,2.696293408699611,2016.0
Alaska,2,2016,2,318.4,7.3799999999999955,2.3728377596296046,2016.25
Alaska,2,2016,3,320.62,6.160000000000025,1.9589136933155331,2016.5
Alaska,2,2016,4,318.78,3.2299999999999613,1.0236095705910193,2016.75
Alabama,1,2016,1,289.14,5.479999999999961,1.9318902911936688,2016.0
Alabama,1,2016,2,292.93,8.400000000000034,2.952237022458101,2016.25
Alabama,1,2016,3,297.97,11.650000000000034,4.06887398714726,2016.5
Alabama,1,2016,4,296.95,8.399999999999977,2.9111072604401236,2016.75
Arkansas,5,2016,1,257.8,5.320000000000022,2.107097591888475,2016.0
Arkansas,5,2016,2,261.67,8.350000000000023,3.2962261171640703,2016.25
Arkansas,5,2016,3,264.51,7.069999999999993,2.7462709757613397,2016.5
Arkansas,5,2016,4,266.2,6.990000000000009,2.6966552216349715,2016.75
Arizona,4,2016,1,333.79,22.05000000000001,7.0732020273304705,2016.0
Arizona,4,2016,2,340.81,22.28000000000003,6.994631588861341,2016.25
Arizona,4,2016,3,346.27,20.819999999999993,6.397296051620831,2016.5
Arizona,4,2016,4,351.87,22.120000000000005,6.708112206216832,2016.75
California,6,2016,1,546.34,39.50000000000006,7.793386473048705,2016.0
California,6,2016,2,555.92,37.379999999999995,7.208701353801056,2016.25
California,6,2016,3,567.79,35.73000000000002,6.715408036687595,2016.5
California,6,2016,4,574.95,35.59000000000003,6.598561257787012,2016.75
Colorado,8,2016,1,448.14,46.21999999999997,11.499800955414004,2016.0
Colorado,8,2016,2,464.08,45.339999999999975,10.827721259015135,2016.25
Colorado,8,2016,3,476.32,42.129999999999995,9.703125359865496,2016.5
Colorado,8,2016,4,483.64,43.370000000000005,9.850773389056716,2016.75
Connecticut,9,2016,1,386.73,-1.3999999999999773,-0.36070388787261415,2016.0
Connecticut,9,2016,2,389.31,-0.12000000000000455,-0.03081426700562477,2016.25
Connecticut,9,2016,3,392.3,5.050000000000011,1.3040671400903838,2016.5
Connecticut,9,2016,4,393.16,6.490000000000009,1.6784338066051179,2016.75
District of Columbia,11,2016,1,765.25,51.610000000000014,7.231937671655178,2016.0
District of Columbia,11,2016,2,783.06,57.33999999999992,7.901118888827635,2016.25
District of Columbia,11,2016,3,786.21,41.879999999999995,5.6265366168231825,2016.5
District of Columbia,11,2016,4,801.7,42.450000000000045,5.591043793216997,2016.75
Delaware,10,2016,1,428.11,6.050000000000011,1.4334454816850712,2016.0
Delaware,10,2016,2,431.09,9.829999999999984,2.3334757631866268,2016.25
Delaware,10,2016,3,437.21,12.269999999999982,2.887466465853999,2016.5
Delaware,10,2016,4,439.43,13.110000000000014,3.0751548132857978,2016.75
Florida,12,2016,1,366.75,30.720000000000027,9.14204088920633,2016.0
Florida,12,2016,2,376.07,31.819999999999993,9.243282498184458,2016.25
Florida,12,2016,3,386.57,33.579999999999984,9.513017365931042,2016.5
Florida,12,2016,4,392.96,32.81999999999999,9.113122674515465,2016.75
Georgia,13,2016,1,304.84,16.310000000000002,5.652791737427652,2016.0
Georgia,13,2016,2,313.5,17.850000000000023,6.037544393708785,2016.25
Georgia,13,2016,3,318.97,19.230000000000018,6.415560152131854,2016.5
Georgia,13,2016,4,321.74,19.639999999999986,6.501158556769276,2016.75
Hawaii,15,2016,1,564.64,33.139999999999986,6.235183443085604,2016.0
Hawaii,15,2016,2,567.24,31.379999999999995,5.8560071660508335,2016.25
Hawaii,15,2016,3,579.04,35.25999999999999,6.48423994997977,2016.5
Hawaii,15,2016,4,584.9,35.01999999999998,6.368662253582596,2016.75
Iowa,19,2016,1,270.53,9.319999999999993,3.5680104130775976,2016.0
Iowa,19,2016,2,273.41,8.740000000000009,3.30222541277818,2016.25
Iowa,19,2016,3,277.34,10.079999999999984,3.7716081718176997,2016.5
Iowa,19,2016,4,278.63,9.480000000000018,3.522199516997963,2016.75
Idaho,16,2016,1,318.68,20.370000000000005,6.828467030940969,2016.0
Idaho,16,2016,2,324.81,21.310000000000002,7.021416803953873,2016.25
Idaho,16,2016,3,335.99,25.889999999999986,8.348919703321505,2016.5
Idaho,16,2016,4,337.19,22.69999999999999,7.218035549620015,2016.75
Illinois,17,2016,1,319.99,7.060000000000002,2.256095612437287,2016.0
Illinois,17,2016,2,324.16,8.360000000000014,2.6472450918302766,2016.25
Illinois,17,2016,3,328.68,11.629999999999995,3.6681911370446287,2016.5
Illinois,17,2016,4,329.86,11.410000000000025,3.5829800596640053,2016.75
Indiana,18,2016,1,259.35,6.240000000000009,2.4653312788906043,2016.0
Indiana,18,2016,2,264.33,8.039999999999964,3.1370712864333226,2016.25
Indiana,18,2016,3,268.15,10.849999999999966,4.216867469879505,2016.5
Indiana,18,2016,4,269.84,10.639999999999986,4.104938271604933,2016.75
Kansas,20,2016,1,252.6,8.269999999999982,3.384766504317923,2016.0
Kansas,20,2016,2,257.92,10.610000000000014,4.290162144676727,2016.25
Kansas,20,2016,3,261.64,11.199999999999989,4.47212905286695,2016.5
Kansas,20,2016,4,263.54,12.890000000000015,5.142629164173155,2016.75
Kentucky,21,2016,1,305.15,9.879999999999995,3.3460900193043637,2016.0
Kentucky,21,2016,2,310.35,11.370000000000005,3.8029299618703605,2016.25
Kentucky,21,2016,3,313.95,13.259999999999991,4.409857328145263,2016.5
Kentucky,21,2016,4,315.59,12.419999999999959,4.096711416037193,2016.75
Louisiana,22,2016,1,265.67,8.340000000000032,3.2409746240236394,2016.0
