hpi_type,hpi_flavor,level,placename,place_id,year,quarter,index_nsa
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2019,4,272.73
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2020,1,278.52
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2020,2,280.68
traditional,all-transactions,MSA,"Albany-Lebanon, OR",10540,2020,3,286.68
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2015,1,186.8
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2015,2,187.61
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2015,3,187.73
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2015,4,187.12
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2016,1,189.63
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2016,2,191.64
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2016,3,193.22
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2016,4,193.37
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2017,1,192.84
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2017,2,195.81
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2017,3,198.9
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2017,4,199.11
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2018,1,201.02
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2018,2,201.98
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2018,3,203.56
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2018,4,203.46
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2019,1,205.89
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2019,2,207.34
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2019,3,209.38
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2019,4,211.05
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2020,1,212.76
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2020,2,215.45
traditional,all-transactions,MSA,"Albany-Schenectady-Troy, NY",10580,2020,3,218.12
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2015,1,155.61
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2015,2,156.79
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2015,3,157.32
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2015,4,157.3
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2016,1,159.06
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2016,2,160.65
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2016,3,163.21
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2016,4,164.83
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2017,1,163.97
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2017,2,166.28
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2017,3,170.58
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2017,4,170.32
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2018,1,171.11
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2018,2,174.73
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2018,3,175.68
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2018,4,175.94
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2019,1,177.59
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2019,2,182.48
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2019,3,185.34
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2019,4,186.0
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2020,1,189.25
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2020,2,191.6
traditional,all-transactions,MSA,"Albuquerque, NM",10740,2020,3,195.82
traditional,all-transactions,MSA,"Alexandria, LA",10780,2015,1,195.93
traditional,all-transactions,MSA,"Alexandria, LA",10780,2015,2,199.03
traditional,all-transactions,MSA,"Alexandria, LA",10780,2015,3,200.58
traditional,all-transactions,MSA,"Alexandria, LA",10780,2015,4,201.26
traditional,all-transactions,MSA,"Alexandria, LA",10780,2016,1,199.48
traditional,all-transactions,MSA,"Alexandria, LA",10780,2016,2,202.84
traditional,all-transactions,MSA,"Alexandria, LA",10780,2016,3,201.01
traditional,all-transactions,MSA,"Alexandria, LA",10780,2016,4,208.26
traditional,all-transactions,MSA,"Alexandria, LA",10780,2017,1,200.3
traditional,all-transactions,MSA,"Alexandria, LA",10780,2017,2,206.18
traditional,all-transactions,MSA,"Alexandria, LA",10780,2017,3,211.06
traditional,all-transactions,MSA,"Alexandria, LA",10780,2017,4,213.22
traditional,all-transactions,MSA,"Alexandria, LA",10780,2018,1,208.24
traditional,all-transactions,MSA,"Alexandria, LA",10780,2018,2,212.39
traditional,all-transactions,MSA,"Alexandria, LA",10780,2018,3,207.73
traditional,all-transactions,MSA,"Alexandria, LA",10780,2018,4,212.48
traditional,all-transactions,MSA,"Alexandria, LA",10780,2019,1,208.7
traditional,all-transactions,MSA,"Alexandria, LA",10780,2019,2,212.53
traditional,all-transactions,MSA,"Alexandria, LA",10780,2019,3,219.3
traditional,all-transactions,MSA,"Alexandria, LA",10780,2019,4,217.91
traditional,all-transactions,MSA,"Alexandria, LA",10780,2020,1,218.18
traditional,all-transactions,MSA,"Alexandria, LA",10780,2020,2,219.57
traditional,all-transactions,MSA,"Alexandria, LA",10780,2020,3,219.35
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2015,1,164.63
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2015,2,165.58
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2015,3,165.69
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2015,4,166.58
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,1,166.52
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,2,167.91
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,3,170.01
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2016,4,170.81
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2017,1,171.88
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2017,2,174.04
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2017,3,176.58
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2017,4,178.21
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,1,179.09
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,2,182.46
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,3,184.57
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2018,4,184.29
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,1,185.63
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,2,189.85
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,3,191.81
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,4,192.77
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,1,195.93
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,2,197.86
traditional,all-transactions,MSA,"Allentown-Bethlehem-Easton, PA-NJ",10900,2020,3,202.28
traditional,all-transactions,MSA,"Altoona, PA",11020,2015,1,183.96
traditional,all-transactions,MSA,"Altoona, PA",11020,2015,2,181.76
traditional,all-transactions,MSA,"Altoona, PA",11020,2015,3,183.87
traditional,all-transactions,MSA,"Altoona, PA",11020,2015,4,180.77
traditional,all-transactions,MSA,"Altoona, PA",11020,2016,1,186.06
traditional,all-transactions,MSA,"Altoona, PA",11020,2016,2,187.77
traditional,all-transactions,MSA,"Altoona, PA",11020,2016,3,189.23
traditional,all-transactions,MSA,"Altoona, PA",11020,2016,4,188.11
traditional,all-transactions,MSA,"Altoona, PA",11020,2017,1,193.95
traditional,all-transactions,MSA,"Altoona, PA",11020,2017,2,189.08
traditional,all-transactions,MSA,"Altoona, PA",11020,2017,3,196.35
traditional,all-transactions,MSA,"Altoona, PA",11020,2017,4,197.11
traditional,all-transactions,MSA,"Altoona, PA",11020,2018,1,193.31
traditional,all-transactions,MSA,"Altoona, PA",11020,2018,2,198.14
