Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter
Alaska,2,2019,1,328.79,6.740000000000009,2.092842726284741,2019.0
Alaska,2,2019,2,334.26,3.7899999999999636,1.146851453989761,2019.25
Alaska,2,2019,3,337.26,9.159999999999968,2.79183175861017,2019.5
Alaska,2,2019,4,336.59,9.5,2.904399400776545,2019.75
Alabama,1,2019,1,326.07,14.849999999999966,4.771544245228444,2019.0
Alabama,1,2019,2,331.05,14.900000000000034,4.712952712320112,2019.25
Alabama,1,2019,3,335.45,16.189999999999998,5.071101923197394,2019.5
Alabama,1,2019,4,339.55,19.730000000000018,6.169095116002757,2019.75
Arkansas,5,2019,1,287.77,8.879999999999995,3.1840510595575298,2019.0
Arkansas,5,2019,2,291.69,10.579999999999984,3.763651239728214,2019.25
Arkansas,5,2019,3,295.28,11.829999999999984,4.1735755865231905,2019.5
Arkansas,5,2019,4,297.92,11.840000000000032,4.138702460850123,2019.75
Arizona,4,2019,1,414.56,27.060000000000002,6.983225806451614,2019.0
Arizona,4,2019,2,422.74,27.24000000000001,6.887484197218713,2019.25
Arizona,4,2019,3,428.91,24.150000000000034,5.966498665876084,2019.5
Arizona,4,2019,4,436.09,26.889999999999986,6.5713587487781,2019.75
California,6,2019,1,650.52,24.120000000000005,3.850574712643679,2019.0
California,6,2019,2,657.02,18.539999999999964,2.90377145721087,2019.25
California,6,2019,3,663.71,17.15000000000009,2.6524993813412663,2019.5
California,6,2019,4,667.81,21.25999999999999,3.2882221019256037,2019.75
Colorado,8,2019,1,571.65,32.07999999999993,5.94547510054301,2019.0
Colorado,8,2019,2,580.45,26.860000000000014,4.851966256615909,2019.25
Colorado,8,2019,3,585.47,23.690000000000055,4.21695325572289,2019.5
Colorado,8,2019,4,590.57,26.879999999999995,4.7685784739839265,2019.75
Connecticut,9,2019,1,401.33,7.139999999999986,1.8113092671046924,2019.0
Connecticut,9,2019,2,407.66,10.240000000000009,2.5766191938000125,2019.25
Connecticut,9,2019,3,412.2,11.139999999999986,2.7776392559716716,2019.5
Connecticut,9,2019,4,414.73,15.330000000000041,3.8382573860791287,2019.75
District of Columbia,11,2019,1,886.53,32.48000000000002,3.8030560271646885,2019.0
District of Columbia,11,2019,2,896.44,32.16000000000008,3.7210163372981073,2019.25
District of Columbia,11,2019,3,908.92,40.24000000000001,4.632315697379934,2019.5
District of Columbia,11,2019,4,918.1,34.00999999999999,3.846893415828704,2019.75
Delaware,10,2019,1,466.81,14.120000000000005,3.119132298040603,2019.0
Delaware,10,2019,2,473.33,15.990000000000009,3.4963047185901104,2019.25
Delaware,10,2019,3,478.18,19.70999999999998,4.299081728357358,2019.5
Delaware,10,2019,4,481.62,19.620000000000005,4.246753246753248,2019.75
Florida,12,2019,1,461.05,26.54000000000002,6.108029734643627,2019.0
Florida,12,2019,2,467.21,24.0,5.415040274362041,2019.25
Florida,12,2019,3,475.35,24.810000000000002,5.506725263017712,2019.5
Florida,12,2019,4,481.4,27.72999999999996,6.112372429298821,2019.75
Georgia,13,2019,1,372.48,21.980000000000018,6.271041369472188,2019.0
Georgia,13,2019,2,380.34,21.41999999999996,5.967903711133388,2019.25
Georgia,13,2019,3,385.41,20.78000000000003,5.698927680114096,2019.5
Georgia,13,2019,4,389.63,22.779999999999973,6.209622461496517,2019.75
Hawaii,15,2019,1,636.09,20.610000000000014,3.3486059660752603,2019.0
Hawaii,15,2019,2,639.95,20.980000000000018,3.3895019144708174,2019.25
Hawaii,15,2019,3,644.79,18.25999999999999,2.9144653887283916,2019.5
Hawaii,15,2019,4,651.49,22.75999999999999,3.6199958646795904,2019.75
Iowa,19,2019,1,301.22,10.590000000000032,3.643808278567261,2019.0
Iowa,19,2019,2,304.71,8.560000000000002,2.890427148404526,2019.25
Iowa,19,2019,3,307.44,8.639999999999986,2.891566265060236,2019.5
Iowa,19,2019,4,309.7,10.409999999999968,3.4782318152961897,2019.75
Idaho,16,2019,1,426.89,44.45999999999998,11.62565698297727,2019.0
Idaho,16,2019,2,441.65,41.20999999999998,10.291179702327435,2019.25
Idaho,16,2019,3,452.65,41.02999999999997,9.967931587386419,2019.5
Idaho,16,2019,4,462.81,44.06999999999999,10.524430434159619,2019.75
Illinois,17,2019,1,345.88,6.050000000000011,1.7803019156637174,2019.0
Illinois,17,2019,2,350.85,8.970000000000027,2.623727623727632,2019.25
Illinois,17,2019,3,354.01,10.689999999999998,3.113713153908889,2019.5
Illinois,17,2019,4,355.99,13.04000000000002,3.8023035427905008,2019.75
Indiana,18,2019,1,304.76,17.0,5.907700861829302,2019.0
