Place Name,Place ID,Year,Quarter,HPI,YoY change,% YoY change,year dec. quarter
"Abilene, TX",10180,2019,1,218.2,9.329999999999984,4.466893282903234,2019.0
"Abilene, TX",10180,2019,2,227.99,5.810000000000002,2.614996849401387,2019.25
"Abilene, TX",10180,2019,3,229.12,10.360000000000014,4.7357835070396845,2019.5
"Abilene, TX",10180,2019,4,230.82,4.549999999999983,2.0108719671189212,2019.75
"Akron, OH",10420,2019,1,159.12,7.960000000000008,5.265943371262244,2019.0
"Akron, OH",10420,2019,2,163.23,9.569999999999993,6.228035923467392,2019.25
"Akron, OH",10420,2019,3,164.42,5.829999999999984,3.676146036950617,2019.5
"Akron, OH",10420,2019,4,166.92,9.780000000000001,6.223749522718596,2019.75
"Albany, GA",10500,2019,1,157.33,-0.6599999999999966,-0.4177479587315631,2019.0
"Albany, GA",10500,2019,2,159.47,7.4199999999999875,4.879973692864181,2019.25
"Albany, GA",10500,2019,3,158.42,6.559999999999974,4.3197682075595765,2019.5
"Albany, GA",10500,2019,4,161.39,4.699999999999989,2.999553258025393,2019.75
"Albany-Lebanon, OR",10540,2019,1,256.67,21.650000000000006,9.211981958982216,2019.0
"Albany-Lebanon, OR",10540,2019,2,264.91,22.240000000000038,9.1647092759715,2019.25
"Albany-Lebanon, OR",10540,2019,3,269.36,19.360000000000014,7.744000000000005,2019.5
"Albany-Lebanon, OR",10540,2019,4,273.03,18.859999999999985,7.420230554353379,2019.75
"Albany-Schenectady-Troy, NY",10580,2019,1,205.59,4.319999999999993,2.146370547026379,2019.0
"Albany-Schenectady-Troy, NY",10580,2019,2,206.94,5.22999999999999,2.592831292449551,2019.25
"Albany-Schenectady-Troy, NY",10580,2019,3,208.97,5.889999999999986,2.9003348434114566,2019.5
"Albany-Schenectady-Troy, NY",10580,2019,4,210.68,7.490000000000009,3.6862050297750923,2019.75
"Albuquerque, NM",10740,2019,1,177.16,5.72999999999999,3.3424721460654436,2019.0
"Albuquerque, NM",10740,2019,2,182.13,7.819999999999993,4.486260111295963,2019.25
"Albuquerque, NM",10740,2019,3,184.78,9.469999999999999,5.401859563059722,2019.5
"Albuquerque, NM",10740,2019,4,185.33,9.590000000000003,5.4569250028451135,2019.75
"Alexandria, LA",10780,2019,1,208.93,0.010000000000019327,0.004786521156432763,2019.0
"Alexandria, LA",10780,2019,2,213.31,1.710000000000008,0.8081285444234443,2019.25
"Alexandria, LA",10780,2019,3,218.15,10.099999999999994,4.854602259072335,2019.5
"Alexandria, LA",10780,2019,4,216.05,4.460000000000008,2.1078500874332473,2019.75
"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,1,185.29,6.329999999999984,3.5371032632990524,2019.0
"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,2,189.43,7.27000000000001,3.99099692577954,2019.25
"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,3,191.17,6.839999999999975,3.710736179677738,2019.5
"Allentown-Bethlehem-Easton, PA-NJ",10900,2019,4,191.92,8.280000000000001,4.508821607492922,2019.75
"Altoona, PA",11020,2019,1,196.27,2.969999999999999,1.5364718054837034,2019.0
"Altoona, PA",11020,2019,2,206.67,8.659999999999997,4.3735164890662075,2019.25
"Altoona, PA",11020,2019,3,202.99,4.010000000000019,2.015277917378641,2019.5
"Altoona, PA",11020,2019,4,205.85,9.799999999999983,4.99872481509818,2019.75
"Amarillo, TX",11100,2019,1,201.13,4.859999999999985,2.476180771386348,2019.0
"Amarillo, TX",11100,2019,2,201.61,4.410000000000025,2.2363083164300335,2019.25
"Amarillo, TX",11100,2019,3,204.44,5.300000000000011,2.6614442101034506,2019.5
"Amarillo, TX",11100,2019,4,206.11,7.8300000000000125,3.9489610651603857,2019.75
"Ames, IA",11180,2019,1,210.32,10.849999999999994,5.439414448287961,2019.0
"Ames, IA",11180,2019,2,213.23,5.1699999999999875,2.4848601364990808,2019.25
"Ames, IA",11180,2019,3,214.43,7.710000000000008,3.729682662538704,2019.5
